,Open,High,Low,Close,Volume,Close time
0,0.0225,0.02799,0.0203,0.02646,2962185171.5,2018-07-29 23:59:59.999
1,0.0265,0.02655,0.01227,0.01401,4297862548.9,2018-08-05 23:59:59.999
2,0.01401,0.0144,0.00861,0.00907,4114867503.7,2018-08-12 23:59:59.999
3,0.00906,0.0166,0.00602,0.01431,11218386167.9,2018-08-19 23:59:59.999
4,0.01432,0.01641,0.01236,0.0153,8295629072.6,2018-08-26 23:59:59.999
5,0.01527,0.01885,0.015,0.01786,5817255379.2,2018-09-02 23:59:59.999
6,0.01792,0.01992,0.014,0.01443,6975378834.9,2018-09-09 23:59:59.999
7,0.01445,0.01536,0.01161,0.01412,5411547268.5,2018-09-16 23:59:59.999
8,0.01412,0.01469,0.0122,0.01397,5065875680.1,2018-09-23 23:59:59.999
9,0.01396,0.01401,0.0121,0.01291,5384754797.5,2018-09-30 23:59:59.999
10,0.01291,0.01345,0.01259,0.0131,2740278210.1,2018-10-07 23:59:59.999
11,0.01313,0.01391,0.01101,0.01144,1185370229.4,2018-10-14 23:59:59.999
12,0.01144,0.01303,0.01127,0.0115,2439473579.8,2018-10-21 23:59:59.999
13,0.0115,0.01219,0.01083,0.011,1564609271.2,2018-10-28 23:59:59.999
14,0.011,0.01133,0.00994,0.01091,1247201167.9,2018-11-04 23:59:59.999
15,0.01092,0.0114,0.01011,0.01019,863990017.0,2018-11-11 23:59:59.999
16,0.01021,0.01029,0.00715,0.00773,1826706695.0,2018-11-18 23:59:59.999
17,0.00773,0.00773,0.00408,0.00477,3840125580.3,2018-11-25 23:59:59.999
18,0.00477,0.00575,0.0041,0.00496,3622884166.5,2018-12-02 23:59:59.999
19,0.00495,0.00498,0.00363,0.004,3064108184.6,2018-12-09 23:59:59.999
20,0.004,0.00407,0.00325,0.00339,1606456043.6,2018-12-16 23:59:59.999
21,0.00339,0.004879,0.00339,0.004641,4648113307.3,2018-12-23 23:59:59.999
22,0.004641,0.00525,0.00376,0.00415,3191125678.7,2018-12-30 23:59:59.999
23,0.004144,0.00435,0.003849,0.004245,1580789025.0,2019-01-06 23:59:59.999
24,0.004246,0.004834,0.00361,0.003698,3559738510.0,2019-01-13 23:59:59.999
25,0.003709,0.0043,0.003692,0.003947,2462763931.0,2019-01-20 23:59:59.999
26,0.003956,0.004571,0.003949,0.004136,3153770279.0,2019-01-27 23:59:59.999
27,0.004136,0.004152,0.003715,0.00386,2363610139.0,2019-02-03 23:59:59.999
28,0.003852,0.004127,0.003611,0.004022,1774803463.0,2019-02-10 23:59:59.999
29,0.004022,0.004196,0.003801,0.004118,1810333021.0,2019-02-17 23:59:59.999
30,0.004116,0.005042,0.004083,0.004336,5306308749.0,2019-02-24 23:59:59.999
31,0.00435,0.004735,0.00429,0.004398,2532711231.0,2019-03-03 23:59:59.999
32,0.004399,0.004956,0.004022,0.004692,3173013345.0,2019-03-10 23:59:59.999
33,0.004694,0.00552,0.00447,0.005196,4611553790.9,2019-03-17 23:59:59.999
34,0.005196,0.00606,0.005112,0.005751,4038609861.1,2019-03-24 23:59:59.999
35,0.005754,0.006237,0.005293,0.006092,2414160026.6,2019-03-31 23:59:59.999
36,0.006091,0.007945,0.006002,0.007609,4514474859.2,2019-04-07 23:59:59.999
37,0.007604,0.007714,0.006115,0.006906,2152137072.0,2019-04-14 23:59:59.999
38,0.006906,0.00748,0.006516,0.006756,1790396328.0,2019-04-21 23:59:59.999
39,0.006756,0.007049,0.005785,0.006083,2010742300.0,2019-04-28 23:59:59.999
40,0.006073,0.006777,0.005764,0.006427,1354538399.0,2019-05-05 23:59:59.999
41,0.006447,0.006597,0.0057,0.006111,2017115716.0,2019-05-12 23:59:59.999
42,0.006105,0.0089,0.006043,0.007879,5288663893.1,2019-05-19 23:59:59.999
43,0.007879,0.008,0.006912,0.007523,3125871911.0,2019-05-26 23:59:59.999
44,0.007512,0.0085,0.00705,0.007724,4340852879.0,2019-06-02 23:59:59.999
45,0.007724,0.008075,0.006775,0.007229,3441384036.0,2019-06-09 23:59:59.999
46,0.007216,0.007743,0.007031,0.007257,2565837043.0,2019-06-16 23:59:59.999
47,0.007244,0.00765,0.006439,0.007218,3415569582.0,2019-06-23 23:59:59.999
48,0.007216,0.010999,0.00695,0.008196,11267265909.1,2019-06-30 23:59:59.999
49,0.008211,0.008617,0.007145,0.007456,3166649361.0,2019-07-07 23:59:59.999
50,0.00745,0.007575,0.005609,0.005654,2845592633.0,2019-07-14 23:59:59.999
51,0.005654,0.006219,0.005006,0.006087,2039449737.0,2019-07-21 23:59:59.999
52,0.006104,0.006444,0.005424,0.005645,1253763743.0,2019-07-28 23:59:59.999
53,0.005655,0.005742,0.005262,0.00532,958215660.0,2019-08-04 23:59:59.999
54,0.005316,0.0058,0.00472,0.005114,2420993185.0,2019-08-11 23:59:59.999
55,0.005113,0.005274,0.004361,0.004495,1292019239.0,2019-08-18 23:59:59.999
56,0.004483,0.005003,0.004145,0.004481,1385646019.0,2019-08-25 23:59:59.999
57,0.004473,0.004705,0.00395,0.004095,672571896.0,2019-09-01 23:59:59.999
58,0.004102,0.004468,0.0037,0.003996,1057110657.0,2019-09-08 23:59:59.999
59,0.003976,0.004054,0.003555,0.003716,719133383.0,2019-09-15 23:59:59.999
60,0.003723,0.004418,0.00371,0.004035,1376800231.0,2019-09-22 23:59:59.999
61,0.004037,0.004089,0.003042,0.003339,896928169.8,2019-09-29 23:59:59.999
62,0.003339,0.0036,0.0032,0.003351,483412189.0,2019-10-06 23:59:59.999
63,0.00335,0.0039,0.003285,0.003584,1324892893.0,2019-10-13 23:59:59.999
64,0.003583,0.00365,0.003266,0.003364,569824840.0,2019-10-20 23:59:59.999
65,0.003353,0.004355,0.002832,0.004123,1801686871.0,2019-10-27 23:59:59.999
66,0.004121,0.004811,0.0038,0.004234,4183686781.0,2019-11-03 23:59:59.999
67,0.004236,0.005964,0.004161,0.005739,8688944935.0,2019-11-10 23:59:59.999
68,0.005739,0.008114,0.005435,0.007658,17367069262.0,2019-11-17 23:59:59.999
69,0.007656,0.007674,0.004626,0.005244,19652921795.0,2019-11-24 23:59:59.999
70,0.005242,0.007225,0.004972,0.007103,16232258409.0,2019-12-01 23:59:59.999
