,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,29540321253.76,1808.91,2017-05-14
1,2,XRPXRP,XRP,8435849097.43,0.2202,2017-05-14
2,3,ETHEthereum,ETH,8317152704.92,90.79,2017-05-14
3,4,LTCLitecoin,LTC,1476620104.6,28.89,2017-05-14
4,5,XEMNEM,XEM,1133516013.5,0.1259,2017-05-14
5,6,DASHDash,DASH,655214305.66,89.8,2017-05-14
6,7,ETCEthereum Classic,ETC,625419267.33,6.83,2017-05-14
7,8,XMRMonero,XMR,412624924.17,28.53,2017-05-14
8,9,XLMStellar,XLM,368698663.11,0.03865,2017-05-14
9,10,REPAugur,REP,187021274.57,17.0,2017-05-14
10,11,STEEMSteem,STEEM,176353680.34,0.7554,2017-05-14
11,12,GNTGolem,GNT,172826514.05,0.2107,2017-05-14
12,13,MAIDMaidSafeCoin,MAID,157857687.33,0.3488,2017-05-14
13,14,ROUNDRound,ROUND,148835796.86,0.1751,2017-05-14
14,15,DOGEDogecoin,DOGE,139315466.36,0.001274,2017-05-14
15,16,WAVESWaves,WAVES,137142992.02,1.37,2017-05-14
16,17,ZECZcash,ZEC,125974894.46,96.7,2017-05-14
17,18,STRATStratis,STRAT,125607786.63,1.28,2017-05-14
18,19,GNOGnosis,GNO,124099985.34,112.35,2017-05-14
19,20,SNGLSSingularDTV,SNGLS,102136105.3,0.1702,2017-05-14
