,Rank,Name,Symbol,Market Cap,Price,Date
0,1,Bitcoin,BTC,803744511638.35,42412.43,06/02/2022
1,2,Ethereum,ETH,365288302066.81,3057.48,06/02/2022
2,3,Tether,USDT,77961684799.00,1.00,06/02/2022
3,4,BNB,BNB,69274003460.63,419.55,06/02/2022
4,5,USD Coin,USDC,51054224335.10,1.00,06/02/2022
5,6,Cardano,ADA,38433324420.14,1.14,06/02/2022
6,7,Solana,SOL,36532195892.09,115.30,06/02/2022
7,8,XRP,XRP,32700536071.05,0.68,06/02/2022
8,9,Terra,LUNA,22492358593.97,56.10,06/02/2022
9,10,Polkadot,DOT,21631280299.89,21.90,06/02/2022
10,11,Dogecoin,DOGE,20400845319.46,0.15,06/02/2022
11,12,Avalanche,AVAX,19306314558.70,78.76,06/02/2022
12,13,Binance USD,BUSD,16520648299.56,1.00,06/02/2022
13,14,Shiba Inu,SHIB,15596217120.71,0.00,06/02/2022
14,15,Polygon,MATIC,12981893615.00,1.74,06/02/2022
15,16,Crypto.com Coin,CRO,11661744341.53,0.46,06/02/2022
16,17,TerraUSD,UST,11299508167.99,1.00,06/02/2022
17,18,Wrapped Bitcoin,WBTC,11067758773.96,42249.07,06/02/2022
18,19,Dai,DAI,9769608817.82,1.00,06/02/2022
19,20,Cosmos,ATOM,8949380755.01,31.25,06/02/2022
