,Rank,Name,Symbol,Market Cap,Price,Date
0,1,Bitcoin,BTC,932695365142.40,49368.85,05/12/2021
1,2,Ethereum,ETH,498007875686.39,4198.32,05/12/2021
2,3,Binance Coin,BNB,93038857104.01,557.78,05/12/2021
3,4,Tether,USDT,75159692180.87,1.00,05/12/2021
4,5,Solana,SOL,59983315118.44,196.17,05/12/2021
5,6,Cardano,ADA,45909141522.15,1.38,05/12/2021
6,7,USD Coin,USDC,40884696965.55,1.00,05/12/2021
7,8,XRP,XRP,38062181528.71,0.81,05/12/2021
8,9,Polkadot,DOT,27958507597.69,28.31,05/12/2021
9,10,Terra,LUNA,26270930242.37,68.11,05/12/2021
10,11,Dogecoin,DOGE,22674128031.09,0.17,05/12/2021
11,12,Avalanche,AVAX,20824940381.42,85.79,05/12/2021
12,13,SHIBA INU,SHIB,19887113761.12,0.00,05/12/2021
13,14,Crypto.com Coin,CRO,14246995016.60,0.56,05/12/2021
14,15,Polygon,MATIC,14363566604.26,2.05,05/12/2021
15,16,Binance USD,BUSD,13588403503.31,1.00,05/12/2021
16,17,Wrapped Bitcoin,WBTC,12585100920.42,49009.36,05/12/2021
17,18,Algorand,ALGO,11062026271.92,1.76,05/12/2021
18,19,Litecoin,LTC,10811735664.35,156.41,05/12/2021
19,20,Uniswap,UNI,10378935853.19,16.53,05/12/2021
