,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,48471351908.86,2958.11,2017-06-11
1,2,ETHEthereum,ETH,31473955353.02,340.61,2017-06-11
2,3,XRPXRP,XRP,10453873064.78,0.2728,2017-06-11
3,4,ETCEthereum Classic,ETC,1995251220.29,21.57,2017-06-11
4,5,XEMNEM,XEM,1962153643.15,0.218,2017-06-11
5,6,LTCLitecoin,LTC,1710729365.69,33.22,2017-06-11
6,7,DASHDash,DASH,1385073979.22,188.27,2017-06-11
7,8,BTSBitShares,BTS,1020271205.21,0.392,2017-06-11
8,9,XMRMonero,XMR,857729832.69,58.7,2017-06-11
9,10,STRATStratis,STRAT,856339118.46,8.7,2017-06-11
10,11,WAVESWaves,WAVES,632091331.48,6.32,2017-06-11
11,12,BCNBytecoin,BCN,622202238.66,0.0034,2017-06-11
12,13,STEEMSteem,STEEM,574412944.71,2.45,2017-06-11
13,14,ZECZcash,ZEC,497822473.0,331.1,2017-06-11
14,15,GNTGolem,GNT,476921216.02,0.5751,2017-06-11
15,16,XLMStellar,XLM,443769933.33,0.04592,2017-06-11
16,17,LSKLisk,LSK,423160535.97,3.91,2017-06-11
17,18,SCSiacoin,SC,408715516.49,0.01524,2017-06-11
18,19,DOGEDogecoin,DOGE,395265628.86,0.003601,2017-06-11
19,20,REPAugur,REP,371533115.39,33.78,2017-06-11
