,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,155850820847.85,9330.55,2017-11-26
1,2,ETHEthereum,ETH,45235669733.1,471.33,2017-11-26
2,3,BCHBitcoin Cash,BCH,29200980119.29,1735.66,2017-11-26
3,4,XRPXRP,XRP,9610065184.17,0.2488,2017-11-26
4,5,BTGBitcoin Gold,BTG,6115594816.94,366.79,2017-11-26
5,6,DASHDash,DASH,4794261359.86,621.62,2017-11-26
6,7,LTCLitecoin,LTC,4640578368.35,85.93,2017-11-26
7,8,XMRMonero,XMR,2516568365.59,163.37,2017-11-26
8,9,NEONeo,NEO,2498863487.24,38.44,2017-11-26
9,10,MIOTAIOTA,MIOTA,2340175155.35,0.8419,2017-11-26
10,11,ETCEthereum Classic,ETC,2173322763.1,22.22,2017-11-26
11,12,XEMNEM,XEM,1924972995.9,0.2139,2017-11-26
12,13,EOSEOS,EOS,1229361529.33,2.46,2017-11-26
13,14,QTUMQtum,QTUM,1089849611.48,14.79,2017-11-26
14,15,ADACardano,ADA,941982424.59,0.03633,2017-11-26
15,16,ZECZcash,ZEC,920840987.82,340.14,2017-11-26
16,17,HCHyperCash,HC,870555142.51,20.58,2017-11-26
17,18,LSKLisk,LSK,866591070.99,7.51,2017-11-26
18,19,XLMStellar,XLM,866135017.2,0.0489,2017-11-26
19,20,OMGOmiseGO,OMG,866113036.59,8.49,2017-11-26
