,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,41124195602.84,2511.81,2017-06-04
1,2,ETHEthereum,ETH,22622230133.21,245.33,2017-06-04
2,3,XRPXRP,XRP,11563834772.7,0.2994,2017-06-04
3,4,XEMNEM,XEM,1940053581.98,0.2156,2017-06-04
4,5,ETCEthereum Classic,ETC,1612317546.44,17.48,2017-06-04
5,6,LTCLitecoin,LTC,1436514967.86,27.94,2017-06-04
6,7,DASHDash,DASH,1052615780.55,143.35,2017-06-04
7,8,STRATStratis,STRAT,1031727235.85,10.48,2017-06-04
8,9,XMRMonero,XMR,625243117.25,42.9,2017-06-04
9,10,WAVESWaves,WAVES,534606266.02,5.35,2017-06-04
10,11,BCNBytecoin,BCN,460184392.54,0.002515,2017-06-04
11,12,DGBDigiByte,DGB,405103741.43,0.04997,2017-06-04
12,13,GNTGolem,GNT,395861655.21,0.4799,2017-06-04
13,14,XLMStellar,XLM,386497195.2,0.03999,2017-06-04
14,15,SCSiacoin,SC,382912464.92,0.01441,2017-06-04
15,16,DOGEDogecoin,DOGE,348600941.97,0.003179,2017-06-04
16,17,ZECZcash,ZEC,348108361.18,239.52,2017-06-04
17,18,REPAugur,REP,318529399.87,28.96,2017-06-04
18,19,STEEMSteem,STEEM,305209600.95,1.3,2017-06-04
19,20,GAMEGameCredits,GAME,302111425.68,4.79,2017-06-04
