,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,42494976233.71,2589.41,2017-06-25
1,2,ETHEthereum,ETH,28138433535.28,303.25,2017-06-25
2,3,XRPXRP,XRP,11427040791.46,0.2984,2017-06-25
3,4,LTCLitecoin,LTC,2271525851.06,43.92,2017-06-25
4,5,ETCEthereum Classic,ETC,1990808257.18,21.42,2017-06-25
5,6,XEMNEM,XEM,1594635218.2,0.1772,2017-06-25
6,7,MIOTAIOTA,MIOTA,1308995122.19,0.4709,2017-06-25
7,8,DASHDash,DASH,1276617820.94,172.88,2017-06-25
8,9,BTSBitShares,BTS,777820920.04,0.2996,2017-06-25
9,10,STRATStratis,STRAT,697417515.01,7.08,2017-06-25
10,11,XMRMonero,XMR,673947365.71,45.89,2017-06-25
11,12,ZECZcash,ZEC,512366179.67,330.04,2017-06-25
12,13,GNTGolem,GNT,468099980.41,0.5645,2017-06-25
13,14,WAVESWaves,WAVES,462485313.42,4.62,2017-06-25
14,15,BCNBytecoin,BCN,460369810.98,0.002515,2017-06-25
15,16,STEEMSteem,STEEM,445070341.36,1.89,2017-06-25
16,17,SCSiacoin,SC,440222989.0,0.01617,2017-06-25
17,18,ICNIconomi,ICN,352689404.01,4.05,2017-06-25
18,19,BCCBitConnect,BCC,346581883.99,51.16,2017-06-25
19,20,LSKLisk,LSK,330272281.5,3.04,2017-06-25
