,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,174768292883.37,9757.97,2019-09-01
1,2,ETHEthereum,ETH,18461846967.6,171.63,2019-09-01
2,3,XRPXRP,XRP,11092364971.53,0.2581,2019-09-01
3,4,BCHBitcoin Cash,BCH,5076312771.38,282.33,2019-09-01
4,5,LTCLitecoin,LTC,4177872604.63,66.14,2019-09-01
5,6,USDTTether,USDT,4026198549.68,1.0,2019-09-01
6,7,BNBBinance Coin,BNB,3354720068.0,21.57,2019-09-01
7,8,EOSEOS,EOS,3047908479.86,3.28,2019-09-01
8,9,BSVBitcoin SV,BSV,2314946418.42,129.65,2019-09-01
9,10,XMRMonero,XMR,1233580704.17,71.78,2019-09-01
10,11,XLMStellar,XLM,1226847587.7,0.06247,2019-09-01
11,12,ADACardano,ADA,1154858194.54,0.04454,2019-09-01
12,13,LEOUNUS SED LEO,LEO,1148665271.96,1.15,2019-09-01
13,14,TRXTRON,TRX,1041912670.75,0.01563,2019-09-01
14,15,HTHuobi Token,HT,931382860.73,3.79,2019-09-01
15,16,DASHDash,DASH,721956272.69,80.07,2019-09-01
16,17,ETCEthereum Classic,ETC,709299971.67,6.27,2019-09-01
17,18,XTZTezos,XTZ,681637980.05,1.03,2019-09-01
18,19,MIOTAIOTA,MIOTA,671499176.38,0.2416,2019-09-01
19,20,LINKChainlink,LINK,621326044.22,1.78,2019-09-01
