,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,41788447639.02,2548.29,2017-06-18
1,2,ETHEthereum,ETH,34398156576.12,371.46,2017-06-18
2,3,XRPXRP,XRP,10897410833.71,0.2846,2017-06-18
3,4,LTCLitecoin,LTC,2376273084.09,46.04,2017-06-18
4,5,ETCEthereum Classic,ETC,2046194288.37,22.07,2017-06-18
5,6,XEMNEM,XEM,1782298117.68,0.198,2017-06-18
6,7,DASHDash,DASH,1426442711.61,193.53,2017-06-18
7,8,MIOTAIOTA,MIOTA,1128105978.14,0.4059,2017-06-18
8,9,BTSBitShares,BTS,845946486.09,0.3258,2017-06-18
9,10,STRATStratis,STRAT,730618789.91,7.42,2017-06-18
10,11,XMRMonero,XMR,726591002.35,49.6,2017-06-18
11,12,ZECZcash,ZEC,584999445.54,376.82,2017-06-18
12,13,WAVESWaves,WAVES,498612689.97,4.99,2017-06-18
13,14,BCNBytecoin,BCN,480714196.8,0.002626,2017-06-18
14,15,GNTGolem,GNT,480179066.3,0.5791,2017-06-18
15,16,STEEMSteem,STEEM,468183020.74,2.0,2017-06-18
16,17,SCSiacoin,SC,430005204.27,0.01591,2017-06-18
17,18,XLMStellar,XLM,370483914.11,0.03833,2017-06-18
18,19,DOGEDogecoin,DOGE,354811913.16,0.00323,2017-06-18
19,20,BCCBitConnect,BCC,342832855.03,50.9,2017-06-18
