,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,195089979981.45,11600.13,2018-01-21
1,2,ETHEthereum,ETH,101943840318.53,1049.58,2018-01-21
2,3,XRPXRP,XRP,53461573182.6,1.38,2018-01-21
3,4,BCHBitcoin Cash,BCH,30068660780.81,1776.64,2018-01-21
4,5,ADACardano,ADA,15897526388.2,0.6132,2018-01-21
5,6,LTCLitecoin,LTC,10446768151.11,190.42,2018-01-21
6,7,XEMNEM,XEM,9599050997.62,1.07,2018-01-21
7,8,NEONeo,NEO,8521200866.7,131.1,2018-01-21
8,9,EOSEOS,EOS,8322848983.1,13.44,2018-01-21
9,10,XLMStellar,XLM,8304225383.46,0.4641,2018-01-21
10,11,MIOTAIOTA,MIOTA,7690476416.82,2.77,2018-01-21
11,12,DASHDash,DASH,6408817301.21,818.27,2018-01-21
12,13,XMRMonero,XMR,5393671406.62,345.08,2018-01-21
13,14,TRXTRON,TRX,4680358576.53,0.07119,2018-01-21
14,15,ICXICON,ICX,3375558989.05,8.88,2018-01-21
15,16,BTGBitcoin Gold,BTG,3329429272.42,198.44,2018-01-21
16,17,QTUMQtum,QTUM,3161166724.42,42.82,2018-01-21
17,18,ETCEthereum Classic,ETC,3010658214.34,30.32,2018-01-21
18,19,LSKLisk,LSK,2593098873.89,22.12,2018-01-21
19,20,NANONano,NANO,2243249313.62,16.84,2018-01-21
