,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,91674230185.93,5198.9,2019-04-07
1,2,ETHEthereum,ETH,18424576820.42,174.53,2019-04-07
2,3,XRPXRP,XRP,15021731304.72,0.3599,2019-04-07
3,4,BCHBitcoin Cash,BCH,5662007844.39,319.6,2019-04-07
4,5,LTCLitecoin,LTC,5653406711.33,92.31,2019-04-07
5,6,EOSEOS,EOS,4943668665.75,5.46,2019-04-07
6,7,BNBBinance Coin,BNB,2697901876.07,19.11,2019-04-07
7,8,XLMStellar,XLM,2510903306.46,0.1303,2019-04-07
8,9,ADACardano,ADA,2345996894.44,0.09048,2019-04-07
9,10,USDTTether,USDT,2090015279.43,1.0,2019-04-07
10,11,TRXTRON,TRX,1926752662.37,0.02889,2019-04-07
11,12,BSVBitcoin SV,BSV,1526953180.18,86.41,2019-04-07
12,13,DASHDash,DASH,1182064053.63,135.26,2019-04-07
13,14,XMRMonero,XMR,1180056140.44,69.81,2019-04-07
14,15,MIOTAIOTA,MIOTA,1007543918.2,0.3625,2019-04-07
15,16,ETCEthereum Classic,ETC,840251877.09,7.67,2019-04-07
16,17,NEONeo,NEO,838234869.09,12.9,2019-04-07
17,18,MKRMaker,MKR,775042006.16,775.04,2019-04-07
18,19,ONTOntology,ONT,760764525.91,1.54,2019-04-07
19,20,XEMNEM,XEM,647987653.64,0.072,2019-04-07
