,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,172763239787.2,9386.79,2020-06-14
1,2,ETHEthereum,ETH,26069111857.06,234.11,2020-06-14
2,3,USDTTether,USDT,9238040026.25,1.01,2020-06-14
3,4,XRPXRP,XRP,8452767513.64,0.1916,2020-06-14
4,5,BCHBitcoin Cash,BCH,4401606562.41,238.76,2020-06-14
5,6,BSVBitcoin SV,BSV,3318372440.9,180.02,2020-06-14
6,7,LTCLitecoin,LTC,2863412897.3,44.08,2020-06-14
7,8,BNBBinance Coin,BNB,2590657273.06,16.66,2020-06-14
8,9,EOSEOS,EOS,2405339450.79,2.58,2020-06-14
9,10,ADACardano,ADA,1989844415.94,0.07675,2020-06-14
10,11,CROCrypto.com Coin,CRO,1954113590.15,0.1121,2020-06-14
11,12,XTZTezos,XTZ,1904813417.45,2.6,2020-06-14
12,13,XLMStellar,XLM,1450664397.53,0.07141,2020-06-14
13,14,ACAAcash Coin,ACA,1417021195.05,0.2023,2020-06-14
14,15,LINKChainlink,LINK,1384254617.73,3.96,2020-06-14
15,16,LEOUNUS SED LEO,LEO,1174742575.22,1.18,2020-06-14
16,17,XMRMonero,XMR,1156493686.01,65.73,2020-06-14
17,18,TRXTRON,TRX,1084038087.57,0.01626,2020-06-14
18,19,HTHuobi Token,HT,931001576.28,4.23,2020-06-14
19,20,NEONeo,NEO,753105272.99,10.68,2020-06-14
