,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,215490364254.78,11675.74,2020-08-09
1,2,ETHEthereum,ETH,43850292041.3,391.12,2020-08-09
2,3,XRPXRP,XRP,12949750916.51,0.2887,2020-08-09
3,4,USDTTether,USDT,10029916687.55,1.0,2020-08-09
4,5,BCHBitcoin Cash,BCH,5553014744.13,300.4,2020-08-09
5,6,LINKChainlink,LINK,4848621841.18,13.85,2020-08-09
6,7,BSVBitcoin SV,BSV,4141285772.57,224.05,2020-08-09
7,8,ADACardano,ADA,3765758411.86,0.1452,2020-08-09
8,9,LTCLitecoin,LTC,3725788181.86,57.14,2020-08-09
9,10,BNBBinance Coin,BNB,3245614914.0,22.48,2020-08-09
10,11,CROCrypto.com Coin,CRO,3132581940.99,0.1673,2020-08-09
11,12,EOSEOS,EOS,2836228730.48,3.03,2020-08-09
12,13,XTZTezos,XTZ,2723508485.13,3.68,2020-08-09
13,14,XLMStellar,XLM,2157887345.65,0.1051,2020-08-09
14,15,XMRMonero,XMR,1643384225.34,93.06,2020-08-09
15,16,TRXTRON,TRX,1467055935.28,0.02047,2020-08-09
16,17,LEOUNUS SED LEO,LEO,1273668670.4,1.27,2020-08-09
17,18,VETVeChain,VET,1212349014.43,0.02186,2020-08-09
18,19,USDCUSD Coin,USDC,1145141852.67,1.0,2020-08-09
19,20,HEXHEX,HEX,1043528618.64,0.003729,2020-08-09
