,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,68263777323.3,4122.94,2017-09-10
1,2,ETHEthereum,ETH,27300079135.16,288.75,2017-09-10
2,3,BCHBitcoin Cash,BCH,8900563272.64,537.07,2017-09-10
3,4,XRPXRP,XRP,8168408463.99,0.213,2017-09-10
4,5,LTCLitecoin,LTC,3257754252.61,61.61,2017-09-10
5,6,DASHDash,DASH,2416792514.18,320.11,2017-09-10
6,7,XEMNEM,XEM,2312772273.76,0.257,2017-09-10
7,8,XMRMonero,XMR,1692133440.18,112.33,2017-09-10
8,9,MIOTAIOTA,MIOTA,1377553722.27,0.4956,2017-09-10
9,10,ETCEthereum Classic,ETC,1303344867.19,13.66,2017-09-10
10,11,NEONeo,NEO,1137368488.31,22.75,2017-09-10
11,12,OMGOmiseGO,OMG,1121242325.71,11.4,2017-09-10
12,13,BCCBitConnect,BCC,819219066.76,122.92,2017-09-10
13,14,QTUMQtum,QTUM,753971819.88,12.78,2017-09-10
14,15,LSKLisk,LSK,736327421.68,6.57,2017-09-10
15,16,STRATStratis,STRAT,577246602.53,5.86,2017-09-10
16,17,ZECZcash,ZEC,458994578.92,212.91,2017-09-10
17,18,WAVESWaves,WAVES,440792083.74,4.41,2017-09-10
18,19,USDTTether,USDT,405899671.38,1.01,2017-09-10
19,20,HCHyperCash,HC,383699890.14,11.42,2017-09-10
