,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,171289415078.63,9303.63,2020-06-21
1,2,ETHEthereum,ETH,25520273836.84,228.99,2020-06-21
2,3,USDTTether,USDT,9200517082.35,1.0,2020-06-21
3,4,XRPXRP,XRP,8214686194.62,0.1856,2020-06-21
4,5,BCHBitcoin Cash,BCH,4265282304.63,231.29,2020-06-21
5,6,BSVBitcoin SV,BSV,3180782081.8,172.49,2020-06-21
6,7,LTCLitecoin,LTC,2794826423.85,43.09,2020-06-21
7,8,BNBBinance Coin,BNB,2488778109.43,16.0,2020-06-21
8,9,EOSEOS,EOS,2349397862.78,2.52,2020-06-21
9,10,CROCrypto.com Coin,CRO,2077221684.2,0.1191,2020-06-21
10,11,ADACardano,ADA,2034638633.77,0.07848,2020-06-21
11,12,XTZTezos,XTZ,1898245315.99,2.59,2020-06-21
12,13,LINKChainlink,LINK,1466202330.56,4.19,2020-06-21
13,14,ACAAcash Coin,ACA,1412595921.52,0.2017,2020-06-21
14,15,XLMStellar,XLM,1398656167.86,0.06876,2020-06-21
15,16,LEOUNUS SED LEO,LEO,1161844214.9,1.16,2020-06-21
16,17,XMRMonero,XMR,1136407052.19,64.55,2020-06-21
17,18,TRXTRON,TRX,1056201955.23,0.01584,2020-06-21
18,19,HTHuobi Token,HT,891279426.91,4.05,2020-06-21
19,20,COMPCompound,COMP,863271492.23,337.05,2020-06-21
