,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,136847419895.98,7564.35,2019-12-08
1,2,ETHEthereum,ETH,16464729150.19,151.26,2019-12-08
2,3,XRPXRP,XRP,9974529031.25,0.2304,2019-12-08
3,4,USDTTether,USDT,4134238974.83,1.01,2019-12-08
4,5,BCHBitcoin Cash,BCH,3891948419.08,214.36,2019-12-08
5,6,LTCLitecoin,LTC,2931804622.03,45.95,2019-12-08
6,7,EOSEOS,EOS,2603139257.61,2.76,2019-12-08
7,8,BNBBinance Coin,BNB,2437963812.54,15.67,2019-12-08
8,9,BSVBitcoin SV,BSV,1760696830.28,97.45,2019-12-08
9,10,XLMStellar,XLM,1125717482.06,0.05613,2019-12-08
10,11,XTZTezos,XTZ,1061776776.18,1.61,2019-12-08
11,12,ADACardano,ADA,1009798192.45,0.03895,2019-12-08
12,13,TRXTRON,TRX,983813077.75,0.01475,2019-12-08
13,14,XMRMonero,XMR,940877036.48,54.24,2019-12-08
14,15,LEOUNUS SED LEO,LEO,913036740.68,0.9135,2019-12-08
15,16,ATOMCosmos,ATOM,752311273.88,3.95,2019-12-08
16,17,LINKChainlink,LINK,720652032.49,2.06,2019-12-08
17,18,HTHuobi Token,HT,680272345.02,2.82,2019-12-08
18,19,999999,999,654069606.95,3.01,2019-12-08
19,20,NEONeo,NEO,641236530.19,9.09,2019-12-08
