,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,649461677014.11,34649.64,2021-06-27
1,2,ETHEthereum,ETH,230473556118.34,1978.89,2021-06-27
2,3,USDTTether,USDT,62565275501.32,1.0,2021-06-27
3,4,BNBBinance Coin,BNB,44582539627.56,290.57,2021-06-27
4,5,ADACardano,ADA,42654792252.72,1.34,2021-06-27
5,6,DOGEDogecoin,DOGE,34431598885.98,0.2644,2021-06-27
6,7,XRPXRP,XRP,29916626946.07,0.6469,2021-06-27
7,8,USDCUSD Coin,USDC,25791977537.2,1.0,2021-06-27
8,9,DOTPolkadot,DOT,14348288115.63,15.02,2021-06-27
9,10,BUSDBinance USD,BUSD,9951227530.45,1.0,2021-06-27
10,11,UNIUniswap,UNI,9833906939.68,17.1,2021-06-27
11,12,BCHBitcoin Cash,BCH,8953538053.98,476.89,2021-06-27
12,13,LTCLitecoin,LTC,8834541326.01,132.35,2021-06-27
13,14,SOLSolana,SOL,8705146914.45,31.93,2021-06-27
14,15,LINKChainlink,LINK,7989048357.73,18.34,2021-06-27
15,16,MATICPolygon,MATIC,7009612653.35,1.11,2021-06-27
16,17,THETATHETA,THETA,6892736519.99,6.89,2021-06-27
17,18,WBTCWrapped Bitcoin,WBTC,6607675012.07,34590.69,2021-06-27
18,19,XLMStellar,XLM,5999612086.91,0.2586,2021-06-27
19,20,ICPInternet Computer,ICP,5785532106.54,42.9,2021-06-27
