,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,173997151929.68,9461.06,2020-05-31
1,2,ETHEthereum,ETH,25675542328.54,230.98,2020-05-31
2,3,XRPXRP,XRP,8950742760.18,0.2029,2020-05-31
3,4,USDTTether,USDT,8780766210.21,0.998,2020-05-31
4,5,BCHBitcoin Cash,BCH,4419143462.33,239.88,2020-05-31
5,6,BSVBitcoin SV,BSV,3557790466.16,193.14,2020-05-31
6,7,LTCLitecoin,LTC,2956928358.32,45.59,2020-05-31
7,8,BNBBinance Coin,BNB,2650418985.6,17.04,2020-05-31
8,9,EOSEOS,EOS,2491563530.52,2.67,2020-05-31
9,10,XTZTezos,XTZ,1992319654.19,2.8,2020-05-31
10,11,ADACardano,ADA,1927728436.12,0.07435,2020-05-31
11,12,CROCrypto.com Coin,CRO,1464765905.45,0.08519,2020-05-31
12,13,LINKChainlink,LINK,1445478259.44,4.13,2020-05-31
13,14,XLMStellar,XLM,1430599352.59,0.07063,2020-05-31
14,15,LEOUNUS SED LEO,LEO,1183375905.96,1.18,2020-05-31
15,16,XMRMonero,XMR,1143896843.52,65.07,2020-05-31
16,17,TRXTRON,TRX,1059652188.51,0.01589,2020-05-31
17,18,HTHuobi Token,HT,893590895.11,4.06,2020-05-31
18,19,HEXHEX,HEX,859054350.11,0.004593,2020-05-31
19,20,ETCEthereum Classic,ETC,806373306.32,6.93,2020-05-31
