,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,1160143314184.57,61553.62,2021-10-17
1,2,ETHEthereum,ETH,453898402930.11,3847.1,2021-10-17
2,3,BNBBinance Coin,BNB,78500881098.01,470.63,2021-10-17
3,4,ADACardano,ADA,70973835949.63,2.16,2021-10-17
4,5,USDTTether,USDT,69062408782.35,1.0,2021-10-17
5,6,XRPXRP,XRP,51259722973.64,1.09,2021-10-17
6,7,SOLSolana,SOL,48010299921.57,159.74,2021-10-17
7,8,DOTPolkadot,DOT,41551364025.73,42.07,2021-10-17
8,9,USDCUSD Coin,USDC,32706400844.5,1.0,2021-10-17
9,10,DOGEDogecoin,DOGE,31342242303.53,0.2379,2021-10-17
10,11,UNIUniswap,UNI,15858166089.38,25.93,2021-10-17
11,12,LUNATerra,LUNA,14540712080.37,36.19,2021-10-17
12,13,WBTCWrapped Bitcoin,WBTC,13282046590.27,61557.81,2021-10-17
13,14,BUSDBinance USD,BUSD,13062633057.83,1.0,2021-10-17
14,15,LTCLitecoin,LTC,12636945961.16,183.73,2021-10-17
15,16,AVAXAvalanche,AVAX,12353091320.49,56.08,2021-10-17
16,17,LINKChainlink,LINK,12195790144.14,26.54,2021-10-17
17,18,BCHBitcoin Cash,BCH,11546388666.1,611.69,2021-10-17
18,19,SHIBSHIBA INU,SHIB,10971365280.47,2.779e-05,2021-10-17
19,20,ALGOAlgorand,ALGO,10869729255.36,1.77,2021-10-17
