,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,149700817938.86,8321.01,2019-10-13
1,2,ETHEthereum,ETH,19688808993.7,182.08,2019-10-13
2,3,XRPXRP,XRP,11990204702.59,0.2778,2019-10-13
3,4,USDTTether,USDT,4128347940.82,1.0,2019-10-13
4,5,BCHBitcoin Cash,BCH,4046676733.88,224.12,2019-10-13
5,6,LTCLitecoin,LTC,3599137699.36,56.71,2019-10-13
6,7,EOSEOS,EOS,2920280356.33,3.12,2019-10-13
7,8,BNBBinance Coin,BNB,2847569963.89,18.31,2019-10-13
8,9,BSVBitcoin SV,BSV,1547249914.41,86.66,2019-10-13
9,10,XLMStellar,XLM,1204152887.22,0.06014,2019-10-13
10,11,TRXTRON,TRX,1076022132.73,0.01614,2019-10-13
11,12,ADACardano,ADA,1071428262.4,0.04132,2019-10-13
12,13,LEOUNUS SED LEO,LEO,997246024.26,0.9977,2019-10-13
13,14,XMRMonero,XMR,923683478.79,53.53,2019-10-13
14,15,LINKChainlink,LINK,874110353.86,2.5,2019-10-13
15,16,HTHuobi Token,HT,838637658.64,3.42,2019-10-13
16,17,MIOTAIOTA,MIOTA,775394347.36,0.279,2019-10-13
17,18,DASHDash,DASH,644877127.3,70.91,2019-10-13
18,19,XTZTezos,XTZ,596776442.21,0.9037,2019-10-13
19,20,MEXCMEXC Token,MEXC,550834826.87,0.6034,2019-10-13
