,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,134124232714.06,8036.49,2017-11-19
1,2,ETHEthereum,ETH,33961408307.94,354.39,2017-11-19
2,3,BCHBitcoin Cash,BCH,19703715143.46,1172.05,2017-11-19
3,4,XRPXRP,XRP,8922489246.54,0.231,2017-11-19
4,5,LTCLitecoin,LTC,3858886714.21,71.59,2017-11-19
5,6,DASHDash,DASH,3405228769.26,442.31,2017-11-19
6,7,NEONeo,NEO,2583905963.9,39.75,2017-11-19
7,8,MIOTAIOTA,MIOTA,2403288086.71,0.8646,2017-11-19
8,9,XMRMonero,XMR,1990642472.05,129.48,2017-11-19
9,10,XEMNEM,XEM,1817524775.66,0.2019,2017-11-19
10,11,ETCEthereum Classic,ETC,1748757266.27,17.92,2017-11-19
11,12,LSKLisk,LSK,1120631118.22,9.74,2017-11-19
12,13,QTUMQtum,QTUM,1033405695.45,14.03,2017-11-19
13,14,EOSEOS,EOS,915390418.24,1.88,2017-11-19
14,15,HCHyperCash,HC,812350166.9,19.22,2017-11-19
15,16,OMGOmiseGO,OMG,798465674.61,7.82,2017-11-19
16,17,ZECZcash,ZEC,795318934.11,299.33,2017-11-19
17,18,ADACardano,ADA,728149530.73,0.02808,2017-11-19
18,19,USDTTether,USDT,676615904.68,1.0,2017-11-19
19,20,XLMStellar,XLM,647776227.17,0.03657,2017-11-19
