,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,111134738445.42,6499.27,2018-06-17
1,2,ETHEthereum,ETH,50114969988.53,500.45,2018-06-17
2,3,XRPXRP,XRP,20730009722.84,0.5282,2018-06-17
3,4,BCHBitcoin Cash,BCH,14646868570.1,852.1,2018-06-17
4,5,EOSEOS,EOS,9359095793.77,10.44,2018-06-17
5,6,LTCLitecoin,LTC,5480224167.45,96.1,2018-06-17
6,7,XLMStellar,XLM,4318394030.31,0.2321,2018-06-17
7,8,ADACardano,ADA,4184110460.94,0.1614,2018-06-17
8,9,MIOTAIOTA,MIOTA,3259603671.37,1.17,2018-06-17
9,10,TRXTRON,TRX,2804038856.42,0.04265,2018-06-17
10,11,USDTTether,USDT,2621438174.83,1.01,2018-06-17
11,12,NEONeo,NEO,2519389476.78,38.76,2018-06-17
12,13,DASHDash,DASH,2163127617.47,265.77,2018-06-17
13,14,XMRMonero,XMR,2002539486.35,124.06,2018-06-17
14,15,BNBBinance Coin,BNB,1890669938.6,16.58,2018-06-17
15,16,XEMNEM,XEM,1754004433.56,0.1949,2018-06-17
16,17,VENVechain [Token],VEN,1652830410.93,3.02,2018-06-17
17,18,ETCEthereum Classic,ETC,1467365239.36,14.33,2018-06-17
18,19,QTUMQtum,QTUM,942185035.07,10.63,2018-06-17
19,20,ONTOntology,ONT,932680975.14,6.16,2018-06-17
