,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,149585506245.09,8802.46,2018-04-22
1,2,ETHEthereum,ETH,61556074857.2,621.86,2018-04-22
2,3,XRPXRP,XRP,34036649920.49,0.87,2018-04-22
3,4,BCHBitcoin Cash,BCH,20527052900.78,1201.22,2018-04-22
4,5,EOSEOS,EOS,9199187412.95,11.35,2018-04-22
5,6,LTCLitecoin,LTC,8249634515.38,146.77,2018-04-22
6,7,ADACardano,ADA,7403090922.22,0.2855,2018-04-22
7,8,XLMStellar,XLM,6836208578.93,0.3681,2018-04-22
8,9,MIOTAIOTA,MIOTA,5577268682.07,2.01,2018-04-22
9,10,NEONeo,NEO,4794509735.11,73.76,2018-04-22
10,11,XMRMonero,XMR,4329346558.22,271.3,2018-04-22
11,12,DASHDash,DASH,3753277809.52,467.71,2018-04-22
12,13,XEMNEM,XEM,3474820553.87,0.3861,2018-04-22
13,14,TRXTRON,TRX,3446518313.92,0.05242,2018-04-22
14,15,USDTTether,USDT,2278441147.37,0.9962,2018-04-22
15,16,VENVechain [Token],VEN,2014794969.67,3.83,2018-04-22
16,17,ETCEthereum Classic,ETC,1903688174.05,18.79,2018-04-22
17,18,QTUMQtum,QTUM,1717223025.06,19.39,2018-04-22
18,19,OMGOmiseGO,OMG,1550132586.84,15.19,2018-04-22
19,20,BNBBinance Coin,BNB,1468380145.13,12.88,2018-04-22
