,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,609409213147.03,32782.02,2021-01-03
1,2,ETHEthereum,ETH,111309985610.91,975.51,2021-01-03
2,3,USDTTether,USDT,21340101768.04,1.0,2021-01-03
3,4,LTCLitecoin,LTC,10610100156.81,160.19,2021-01-03
4,5,XRPXRP,XRP,10254417776.8,0.2258,2021-01-03
5,6,DOTPolkadot,DOT,8995148461.43,10.03,2021-01-03
6,7,BCHBitcoin Cash,BCH,7845655333.38,421.79,2021-01-03
7,8,ADACardano,ADA,6377915101.91,0.205,2021-01-03
8,9,BNBBinance Coin,BNB,5942182740.66,41.15,2021-01-03
9,10,LINKChainlink,LINK,5453374284.89,13.65,2021-01-03
10,11,USDCUSD Coin,USDC,4208024428.08,0.9997,2021-01-03
11,12,WBTCWrapped Bitcoin,WBTC,3819401682.96,33008.13,2021-01-03
12,13,BSVBitcoin SV,BSV,3190473983.67,171.39,2021-01-03
13,14,XLMStellar,XLM,2989656210.89,0.1364,2021-01-03
14,15,EOSEOS,EOS,2625024378.63,2.8,2021-01-03
15,16,XMRMonero,XMR,2458046204.5,138.06,2021-01-03
16,17,THETATHETA,THETA,2121383111.85,2.12,2021-01-03
17,18,TRXTRON,TRX,2113567006.58,0.02949,2021-01-03
18,19,XEMNEM,XEM,1894334537.88,0.2105,2021-01-03
19,20,VETVeChain,VET,1667128428.69,0.02592,2021-01-03
